"id","USyV","Suelos","Grad_Pend","P_sum","Esc_sum","Agua_D","Agua_D_log","P_cat","Esc_cat","Agua_D_cat","cobertura","suelo","pendiente","precipitacion","escorrentia","aporte"
222,"Sec Bosque Tropical","Leptosol","6°-15°",1215157.44934082,352184.140686035,5116360.1,15.4479540216764,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_medio"
223,"Pastizal","Regosol","15°-35°",969324.944580078,264423.679016113,264423.68,12.4853117260225,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_bajo"
224,"Sec Bosque Templado","Phaeozem","15°-35°",3728695.76171875,1012278.46096802,1012278.46,13.8277152369533,"Alta","Alta","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_alta","aporte_bajo"
225,"Pastizal","Leptosol","15°-35°",2102814.45385742,578506.020141602,1264358.53,14.0500762515352,"Alta","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_media","aporte_bajo"
226,"Sec Bosque Templado","Phaeozem","15°-35°",3910582.66992188,1059819.39367676,2314379.74,14.6546527107982,"Alta","Alta","Media","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_alta","aporte_medio"
227,"Sec Bosque Tropical","Phaeozem","6°-15°",1224250.98693848,329279.186126709,14894438.39,16.516498505959,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_media","esc_baja","aporte_medio"
228,"Bosque de Encino","Phaeozem","15°-35°",4427140.4354248,1254560.35437012,1254560.35,14.0422965475386,"Alta","Alta","Baja","forestal_conservada","suelo_infiltracion_alta","pend_alta","prec_alta","esc_alta","aporte_bajo"
229,"Sec Bosque Tropical","Leptosol","6°-15°",2360343.52392578,661355.270812988,6513743.43,15.689425030091,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio"
230,"Sec Bosque Tropical","Regosol","15°-35°",2234993.15917969,617212.220428467,14565159.2,16.4941429472853,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_media","aporte_medio"
231,"Sec Bosque Tropical","Regosol","15°-35°",6614687.59069824,1900822.45581055,65185779.31,17.9927519097061,"Alta","Alta","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_alta","aporte_alto"
232,"Sec Bosque Tropical","Leptosol","15°-35°",3736301.95141602,1042823.23199463,7556566.66,15.837927631833,"Alta","Alta","Media","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_alta","aporte_medio"
233,"Pastizal","Regosol","6°-15°",1010678.15087891,286364.985839844,2607107.52,14.7737523184398,"Baja","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
234,"Sec Bosque Tropical","Leptosol","15°-35°",1601440.06896973,441086.183959961,8138933.52,15.9121698350624,"Media","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_media","aporte_medio"
235,"Sec Bosque Tropical","Leptosol","15°-35°",1229691.86401367,329451.888092041,33889029.98,17.3386019500791,"Media","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_alto"
236,"Sec Bosque Templado","Phaeozem","15°-35°",3898697.54394531,1091812.328125,1091812.33,13.9033504774511,"Alta","Alta","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_alta","aporte_bajo"
237,"Sec Bosque Tropical","Phaeozem","15°-35°",341329.575439453,87916.757232666,74524000.24,18.1266317957613,"Baja","Baja","Alta","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_baja","esc_baja","aporte_alto"
238,"Pastizal","Regosol","6°-15°",734544.125488281,200045.817810059,1770977.67,14.3870428726495,"Baja","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
239,"Sec Bosque Tropical","Regosol","6°-15°",2079968.65722656,572205.777526855,33174296.04,17.3172859485082,"Alta","Media","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_alto"
240,"Sec Bosque Tropical","Leptosol","15°-35°",1206470.09606934,331947.260009766,36564445.97,17.4145869320001,"Media","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_alto"
241,"Pastizal","Leptosol","15°-35°",710987.758789062,200273.403533936,200273.4,12.2074437051982,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_bajo"
242,"Sec Bosque Tropical","Regosol","15°-35°",3469909.08154297,909779.511169434,909779.51,13.720958651598,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_media","aporte_bajo"
243,"Pastizal","Phaeozem","6°-15°",707718.260375977,184148.442077637,660222.87,13.400334253458,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_alta","pend_media","prec_baja","esc_baja","aporte_bajo"
244,"Pastizal","Leptosol","15°-35°",1570268.14660645,441266.527557373,37735926.9,17.4461231933021,"Media","Media","Alta","agropecuaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_media","aporte_alto"
245,"Sec Bosque Templado","Phaeozem","15°-35°",3738012.2947998,1117533.80917358,1117533.81,13.9266357548729,"Alta","Alta","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_alta","aporte_bajo"
246,"Pastizal","Regosol","15°-35°",1535137.87548828,447980.85760498,1013435.17,13.8288572631178,"Media","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_media","aporte_bajo"
247,"Sec Bosque Tropical","Regosol","6°-15°",1703391.76513672,451096.271179199,451096.27,13.019438271505,"Media","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_media","aporte_bajo"
248,"Pastizal","Leptosol","15°-35°",1209488.41357422,342749.933502197,38400337.95,17.4635768443419,"Media","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_alto"
249,"Pastizal","Regosol","6°-15°",1199896.13342285,321661.123535156,38057588.02,17.454611071005,"Media","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_alto"
250,"Sec Bosque Tropical","Phaeozem","15°-35°",2224974.1463623,600400.623779297,600400.62,13.305354076939,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_bajo"
251,"Sec Bosque Templado","Phaeozem","15°-35°",2428407.29003906,704668.794189453,1822202.6,14.4155570958938,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_medio"
252,"Agricultura","Leptosol","1°-3°",957231.873779297,257357.163452148,250281942.39,19.3380986139276,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_baja","prec_baja","esc_baja","aporte_alto"
253,"Sec Bosque Templado","Phaeozem","15°-35°",3284881.1151123,853000.087493896,2675202.69,14.7995360812077,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_medio"
254,"Sec Bosque Tropical","Phaeozem","3°-6°",189180.796386719,49310.5808105469,3094057.05,14.9449940720594,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_baja","esc_baja","aporte_medio"
255,"Pastizal","Leptosol","1°-3°",1298375.46435547,358555.232330322,201199453.09,19.1198072829158,"Media","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_baja","prec_media","esc_baja","aporte_alto"
256,"Sec Bosque Tropical","Regosol","6°-15°",3357183.36877441,908259.523406982,6983997.58,15.7591321731797,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio"
257,"Pastizal","Regosol","6°-15°",1630473.70629883,435820.266113281,9267986.3,16.042076794227,"Media","Media","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_media","aporte_medio"
258,"Sec Bosque Templado","Phaeozem","15°-35°",3676832.33093262,1109512.83633423,1109512.84,13.9194324953644,"Alta","Alta","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_alta","aporte_bajo"
259,"Sec Bosque Tropical","Phaeozem","6°-15°",428377.097900391,112750.685302734,6075738.06,15.6198141957585,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_baja","esc_baja","aporte_medio"
260,"Sec Bosque Templado","Phaeozem","15°-35°",2073187.80090332,578242.598571777,1687755.44,14.3389106546278,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_medio"
261,"Sec Bosque Tropical","Regosol","6°-15°",2200913.46838379,552217.510894775,1025867.26,13.8410498949092,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
262,"Sec Bosque Tropical","Phaeozem","6°-15°",1298101.31750488,330247.411468506,2378946.66,14.6821687882024,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_media","esc_baja","aporte_medio"
263,"Sec Bosque Tropical","Phaeozem","15°-35°",1336065.56738281,335976.590820312,4982029.18,15.421348032594,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_media","esc_baja","aporte_medio"
264,"Sec Bosque Tropical","Leptosol","6°-15°",1563364.54187012,394905.422607422,394905.42,12.8864041044229,"Media","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_media","aporte_bajo"
265,"Pastizal","Phaeozem","15°-35°",1105061.66650391,280980.319152832,280980.32,12.5460434692379,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_alta","pend_alta","prec_media","esc_baja","aporte_bajo"
266,"Pastizal","Phaeozem","15°-35°",1083088.79150391,273175.163330078,273175.16,12.5178721407922,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_alta","pend_alta","prec_media","esc_baja","aporte_bajo"
267,"Sec Bosque Tropical","Phaeozem","6°-15°",2640425.0291748,673204.61340332,5655233.79,15.5480921856802,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_alta","esc_media","aporte_medio"
268,"Pastizal","Regosol","6°-15°",1652454.19799805,416112.816101074,2923786.12,14.8883902928239,"Media","Media","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_media","aporte_medio"
269,"Sec Bosque Tropical","Phaeozem","15°-35°",1158193.14331055,297068.025695801,5952301.82,15.599288731217,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_media","esc_baja","aporte_medio"
270,"Sec Bosque Tropical","Regosol","15°-35°",2002634.21740723,530290.210968018,530290.21,13.1811815874646,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_media","aporte_bajo"
271,"Sec Bosque Templado","Phaeozem","15°-35°",3811897.49401855,1022647.54696655,1022647.55,13.8379064375204,"Alta","Alta","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_alta","aporte_bajo"
272,"Pastizal","Regosol","6°-15°",1440382.99536133,358365.52444458,3282151.64,15.0040100577774,"Media","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_medio"
273,"Sec Bosque Tropical","Phaeozem","15°-35°",2805922.37121582,719158.426696777,719158.43,13.4858383506486,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_bajo"
274,"Pastizal","Phaeozem","6°-15°",1899881.47802734,510638.448547363,1809024.96,14.4082991147443,"Media","Media","Media","agropecuaria","suelo_infiltracion_alta","pend_media","prec_media","esc_media","aporte_medio"
275,"Sec Bosque Tropical","Regosol","6°-15°",2600242.49804688,637714.049316406,3016660.71,14.9196613839127,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio"
276,"Sec Bosque Tropical","Phaeozem","15°-35°",3693691.78869629,948202.347808838,1970849.9,14.4939759363937,"Alta","Alta","Media","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_alta","aporte_medio"
277,"Pastizal","Regosol","6°-15°",1204319.9296875,310543.002563477,3592694.64,15.0944133533509,"Media","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_medio"
278,"Sec Bosque Tropical","Leptosol","6°-15°",2689320.35986328,648683.367980957,256170607.54,19.361354220081,"Alta","Media","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_alto"
279,"Sec Bosque Tropical","Regosol","3°-6°",365376.711914062,84606.6442565918,3820425.78,15.1558726968554,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
280,"Sec Bosque Tropical","Phaeozem","6°-15°",2950331.76208496,744725.83996582,6697027.66,15.7171745024112,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_alta","esc_media","aporte_medio"
281,"Sec Bosque Tropical","Phaeozem","15°-35°",2293727.83972168,572689.467285156,1298386.51,14.0766336756045,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_bajo"
282,"Sec Bosque Tropical","Regosol","6°-15°",1307415.35778809,335649.856292725,725264.57,13.4942931702124,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
283,"Sec Bosque Tropical","Phaeozem","15°-35°",1289002.52197266,321742.460144043,7018770.12,15.7640987065472,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_media","esc_baja","aporte_medio"
284,"Pastizal","Regosol","15°-35°",2122885.74841309,557523.956481934,557523.96,13.2312625526147,"Alta","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_media","aporte_bajo"
285,"Sec Bosque Tropical","Regosol","3°-6°",1019780.46459961,234634.74911499,5127670.8,15.4501622739744,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
286,"Pastizal","Regosol","6°-15°",756050.670166016,187264.582183838,912529.15,13.7239764049888,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
287,"Sec Bosque Tropical","Phaeozem","6°-15°",1215785.48901367,300180.702911377,5602924.69,15.5387994639215,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_media","esc_baja","aporte_medio"
288,"Sec Bosque Tropical","Phaeozem","15°-35°",1073129.26184082,263334.119262695,9810758,16.0989901985792,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_media","esc_baja","aporte_medio"
289,"Sec Bosque Templado","Phaeozem","15°-35°",2965283.50378418,725697.044433594,725697.04,13.494889284422,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_bajo"
290,"Pastizal","Regosol","6°-15°",1877047.93615723,458591.742858887,6061516.43,15.6174707276905,"Media","Media","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_media","aporte_medio"
291,"Sec Bosque Tropical","Phaeozem","15°-35°",1897763.60302734,473753.668518066,473753.67,13.06844489285,"Media","Media","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_media","esc_media","aporte_bajo"
292,"Sec Bosque Tropical","Phaeozem","15°-35°",2844369.70324707,686792.859771729,686792.86,13.4397894679538,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_bajo"
293,"Sec Bosque Tropical","Regosol","15°-35°",3348955.0880127,853182.001312256,257023789.54,19.3646792087697,"Alta","Media","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_media","aporte_alto"
294,"Sec Bosque Tropical","Phaeozem","15°-35°",1648879.94274902,401896.626403809,401896.63,12.9039526834306,"Media","Media","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_media","esc_media","aporte_bajo"
295,"Sec Bosque Tropical","Phaeozem","6°-15°",818181.770996094,165591.803497314,11286509.9,16.2391188449609,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_baja","esc_baja","aporte_medio"
296,"Sec Bosque Tropical","Phaeozem","15°-35°",2545574.55529785,615081.962402344,1301874.82,14.079316720858,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_bajo"
297,"Sec Bosque Tropical","Regosol","6°-15°",2205779.4642334,506837.154785156,7944168.69,15.8879488452544,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio"
298,"Sec Bosque Tropical","Phaeozem","15°-35°",529619.039428711,109420.562164307,260718548.7,19.3789520298055,"Baja","Baja","Alta","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_baja","esc_baja","aporte_alto"
299,"Bosque de Encino","Regosol","15°-35°",1138013.60778809,316110.787994385,316110.79,12.6638511958315,"Media","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_bajo"
300,"Sec Bosque Tropical","Regosol","6°-15°",2829407.91223145,661690.182846069,661690.18,13.402554230608,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
301,"Pastizal","Regosol","6°-15°",6323590.98815918,1435815.87423706,9379984.56,16.0540887815356,"Alta","Alta","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_alta","aporte_medio"
302,"Sec Bosque Tropical","Phaeozem","15°-35°",3689251.36181641,885986.461608887,885986.46,13.6944580759882,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_alta","esc_media","aporte_bajo"
303,"Pastizal","Regosol","6°-15°",4438167.14660645,996124.299346924,10530038.35,16.1697426210452,"Alta","Alta","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_alta","aporte_medio"
304,"Pastizal","Regosol","6°-15°",4243158.81005859,901980.680557251,6963497.11,15.75619250806,"Alta","Media","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio"
305,"Sec Bosque Tropical","Regosol","6°-15°",2049273.35534668,53798.0287356377,53798.03,10.8930107162476,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
306,"Sec Bosque Tropical","Regosol","15°-35°",1852021.95178223,10353.4895934798,64151.52,11.0690186522029,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_bajo"
307,"Bosque Tropical","Regosol","6°-15°",1869134.82061768,0.114654637873173,0.11,0.104360015324243,"Media","Baja","Muy Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_muy_bajo"
308,"Bosque Tropical","Cambisol","15°-35°",619283.537414551,5540.31120154262,367272406.43,19.7216143852618,"Baja","Baja","Alta","forestal_conservada","suelo_infiltracion_media","pend_alta","prec_baja","esc_baja","aporte_alto"
309,"Sec Bosque Tropical","Cambisol","15°-35°",1514434.16522217,14114.9388797503,367350802.64,19.7218278176966,"Media","Baja","Alta","forestal_secundaria","suelo_infiltracion_media","pend_alta","prec_media","esc_baja","aporte_alto"
310,"Sec Bosque Tropical","Phaeozem","6°-15°",1071778.66186523,838.56560860778,838.68,6.73302086687561,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_media","esc_baja","aporte_bajo"
311,"Sec Bosque Tropical","Regosol","6°-15°",1305022.68701172,53765.9037084281,53765.9,10.8924133151754,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
312,"Bosque Tropical","Phaeozem","1°-3°",866847.846069336,0,76554.09,11.2457658913639,"Baja","Baja","Baja","forestal_conservada","suelo_infiltracion_alta","pend_baja","prec_baja","esc_baja","aporte_bajo"
313,"Agricultura","Arenosol","1°-3°",207570.917419434,0,0,0,"Baja","Baja","Muy Baja","agropecuaria","suelo_infiltracion_alta","pend_baja","prec_baja","esc_baja","aporte_muy_bajo"
314,"Pastizal","Regosol","15°-35°",1126231.55267334,49095.0882148743,273184,12.5179045003398,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_bajo"
315,"Bosque Tropical","Regosol","6°-15°",2402900.90270996,0,0,0,"Alta","Baja","Muy Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_muy_bajo"
316,"Bosque Tropical","Solonchank","1°-3°",670355.707824707,0,76554.09,11.2457658913639,"Baja","Baja","Baja","forestal_conservada","suelo_salino","pend_baja","prec_baja","esc_baja","aporte_bajo"
317,"Pastizal","Regosol","6°-15°",1599360.62634277,156101.528963089,951303.58,13.7655895636474,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
318,"Agricultura","Phaeozem","1°-3°",1474230.59692383,130.182719991652,367386964.99,19.7219262537687,"Media","Baja","Alta","agropecuaria","suelo_infiltracion_alta","pend_baja","prec_media","esc_baja","aporte_alto"
319,"Agricultura","Phaeozem","1°-3°",2367388.67419434,0,367386964.99,19.7219262537687,"Alta","Baja","Alta","agropecuaria","suelo_infiltracion_alta","pend_baja","prec_alta","esc_baja","aporte_alto"
320,"Manglar","Regosol","1°-3°",1453024.59655762,0,76554.09,11.2457658913639,"Media","Baja","Baja","hidrofila_humedal","suelo_infiltracion_baja","pend_baja","prec_media","esc_baja","aporte_bajo"
321,"Agricultura","Phaeozem","1°-3°",785467.336791992,0,367386964.99,19.7219262537687,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_alta","pend_baja","prec_baja","esc_baja","aporte_alto"
322,"Pastizal","Phaeozem","6°-15°",400244.485900879,4.32343638502061,297708.23,12.6038725508901,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_alta","pend_media","prec_baja","esc_baja","aporte_bajo"
323,"Agricultura","Phaeozem","<1°",906738.136962891,0,367386964.99,19.7219262537687,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_alta","pend_baja","prec_baja","esc_baja","aporte_alto"
324,"Pastizal","Regosol","6°-15°",3138734.58758545,98927.9798750356,1050231.56,13.8645221833237,"Alta","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
325,"Agricultura","Phaeozem","1°-3°",614876.042785645,0,0,0,"Baja","Baja","Muy Baja","agropecuaria","suelo_infiltracion_alta","pend_baja","prec_baja","esc_baja","aporte_muy_bajo"
326,"Agricultura","Phaeozem","6°-15°",679400.958251953,0,367386964.99,19.7219262537687,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_alta","pend_media","prec_baja","esc_baja","aporte_alto"
327,"Pastizal","Regosol","6°-15°",1123992.13110352,15254.3805210497,1065485.94,13.8789424732894,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
328,"Manglar","Solonchank","<1°",NA,0,0,0,NA,"Baja","Muy Baja","hidrofila_humedal","suelo_salino","pend_baja","prec_baja","esc_baja","aporte_muy_bajo"
329,"Pastizal","Phaeozem","6°-15°",2122995.93017578,0,44963.07,10.7136190053815,"Alta","Baja","Baja","agropecuaria","suelo_infiltracion_alta","pend_media","prec_alta","esc_baja","aporte_bajo"
330,"Bosque Tropical","Regosol","6°-15°",894594.826049805,0,0,0,"Baja","Baja","Muy Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_muy_bajo"
331,"Manglar","Solonchank","1°-3°",NA,0,367386964.99,19.7219262537687,NA,"Baja","Alta","hidrofila_humedal","suelo_salino","pend_baja","prec_baja","esc_baja","aporte_alto"
332,"Manglar","Solonchank","1°-3°",NA,0,0,0,NA,"Baja","Muy Baja","hidrofila_humedal","suelo_salino","pend_baja","prec_baja","esc_baja","aporte_muy_bajo"
333,"Bosque Tropical","Cambisol","6°-15°",2363541.15118408,0,0,0,"Alta","Baja","Muy Baja","forestal_conservada","suelo_infiltracion_media","pend_media","prec_alta","esc_baja","aporte_muy_bajo"
334,"Bosque Tropical","Cambisol","6°-15°",1625469.77166748,0,0,0,"Media","Baja","Muy Baja","forestal_conservada","suelo_infiltracion_media","pend_media","prec_media","esc_baja","aporte_muy_bajo"
335,"Sec Bosque Tropical","Regosol","6°-15°",2802706.31158447,21698.3747588312,1091494.21,13.9030590665063,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
336,"Bosque Tropical","Regosol","6°-15°",NA,0,0,0,NA,"Baja","Muy Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_muy_bajo"
337,"Pastizal","Phaeozem","6°-15°",1147498.89355469,0,1091698.69,13.9032463883075,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_alta","pend_media","prec_media","esc_baja","aporte_bajo"
338,"Bosque Tropical","Phaeozem","6°-15°",342169.901306152,0,1091698.69,13.9032463883075,"Baja","Baja","Baja","forestal_conservada","suelo_infiltracion_alta","pend_media","prec_baja","esc_baja","aporte_bajo"
339,"Agricultura","Cambisol","6°-15°",NA,0,0,0,NA,"Baja","Muy Baja","agropecuaria","suelo_infiltracion_media","pend_media","prec_baja","esc_baja","aporte_muy_bajo"
340,"Agricultura","Phaeozem","1°-3°",2033342.67028809,0,1091698.69,13.9032463883075,"Alta","Baja","Baja","agropecuaria","suelo_infiltracion_alta","pend_baja","prec_alta","esc_baja","aporte_bajo"
341,"Pastizal","Phaeozem","1°-3°",6079650.81542969,1871677.88320923,40126516.09,17.5075479477963,"Alta","Alta","Alta","agropecuaria","suelo_infiltracion_alta","pend_baja","prec_alta","esc_alta","aporte_alto"
342,"Sec Bosque Tropical","Regosol","15°-35°",1112039.29968262,324607.21697998,1573974.37,14.2691150598066,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_medio"
343,"Pastizal","Regosol","1°-3°",1168157.00524902,330251.887756348,330251.89,12.7076139732925,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_baja","prec_media","esc_baja","aporte_bajo"
344,"Pastizal","Regosol","6°-15°",3018666.0690918,925391.327148438,925391.33,13.7379730671129,"Alta","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
345,"Sec Bosque Tropical","Regosol","6°-15°",3440855.43566895,1045899.18148804,6522631.45,15.6907886024177,"Alta","Alta","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_alta","aporte_medio"
346,"Pastizal","Phaeozem","6°-15°",3253867.21582031,1055823.72787476,44160852.69,17.6033492914944,"Alta","Alta","Alta","agropecuaria","suelo_infiltracion_alta","pend_media","prec_alta","esc_alta","aporte_alto"
347,"Pastizal","Regosol","6°-15°",2698097.51379395,889347.304260254,45050199.99,17.6232880034959,"Alta","Media","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_alto"
